#Procedure: <SS9Procedure.SS9Procedure>,,,,,,,,,,
#Parameters:,,,,,,,,,,
"#	Maximum Temp.: 300 K",,,,,,,,,,
"#	Delay Time: 1 s",,,,,,,,,,
"#	Field Strength: 0 T",,,,,,,,,,
"#	MM1 Address: USB0::0x05E6::0x2110::1421999::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM2 Address: USB0::0x05E6::0x2110::8015516::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM3 Address: USB0::0x05E6::0x2110::1421483::INSTR",,,,,,,,,,
"#	Voltage: False",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	MM4 Adress: USB0::0x05E6::0x2110::1422148::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	Number of Averages: 1",,,,,,,,,,
"#	Your Name: connor",,,,,,,,,,
#Data:,,,,,,,,,,
elapsed_time,T,T_err,MM1_reading,MM1_error,MM2_reading,MM2_error,MM3_reading,MM3_error,MM4_reading,MM4_error
242.1170263,159.4183197,0,0.214441582,0,0.204378694,0,0.020745141,0,6.27E-05,0
243.8037698,159.4183197,0,0.214429631,0,0.204363286,0,0.020743996,0,6.25E-05,0
245.4943905,159.4287415,0,0.214406669,0,0.204358458,0,0.020745577,0,6.02E-05,0
247.2072997,159.43396,0,0.214385345,0,0.204360038,0,0.020747209,0,-0.000102915,0
248.9027913,159.4183197,0,0.214377254,0,0.204315349,0,0.020746903,0,-5.69E-05,0
250.6247125,159.3974762,0,0.214359477,0,0.204292848,0,0.020745961,0,-4.91E-05,0
252.3637531,159.4183197,0,0.214359268,0,0.204286932,0,0.020746335,0,-5.04E-05,0
254.1076574,159.4443817,0,0.214300379,0,0.204270422,0,0.020745469,0,6.61E-05,0
255.7940521,159.475647,0,0.214312061,0,0.20425491,0,0.020746598,0,5.89E-05,0
257.4824929,159.4964905,0,0.214272111,0,0.204230666,0,0.020745169,0,6.35E-05,0
259.1685426,159.517334,0,0.214290767,0,0.204225331,0,0.020747369,0,6.68E-05,0
260.8555102,159.5381622,0,0.214232832,0,0.204183727,0,0.020744998,0,7.02E-05,0
262.5468192,159.5277405,0,0.214253261,0,0.204221919,0,0.020747239,0,6.10E-05,0
264.2334664,159.5381622,0,0.214238062,0,0.204175919,0,0.020748327,0,-0.00011233,0
265.927788,159.532959,0,0.214216917,0,0.204171568,0,0.020746958,0,-6.61E-05,0
267.644407,159.5277405,0,0.214166268,0,0.204115793,0,0.020746071,0,-6.14E-05,0
269.3595722,159.5381622,0,0.21415311,0,0.20411545,0,0.02074749,0,6.03E-05,0
271.0466306,159.6241302,0,0.214138686,0,0.204093769,0,0.020747447,0,5.93E-05,0
272.7349877,159.5277405,0,0.214124605,0,0.204090967,0,0.02074863,0,6.97E-05,0
274.421473,159.5121155,0,0.214102789,0,0.204085335,0,0.020748848,0,6.82E-05,0
276.1081827,159.5069122,0,0.214102089,0,0.204070121,0,0.0207483,0,6.09E-05,0
277.7946653,159.5121155,0,0.214082464,0,0.20404829,0,0.020748902,0,-0.000105853,0
279.4823821,159.5069122,0,0.214085623,0,0.204026028,0,0.02074872,0,-5.93E-05,0
281.2086601,159.4964905,0,0.214047908,0,0.20403324,0,0.020749342,0,-4.60E-05,0
282.9339545,159.491272,0,0.214021652,0,0.203989267,0,0.020749396,0,6.93E-05,0
284.620991,159.4808502,0,0.214016765,0,0.203981146,0,0.020748438,0,6.77E-05,0
286.3068233,159.4652252,0,0.214022904,0,0.203961789,0,0.020749141,0,6.47E-05,0
287.9931602,159.4443817,0,0.213992863,0,0.203960269,0,0.020748109,0,5.94E-05,0
289.679821,159.4391632,0,0.213962525,0,0.203916087,0,0.020748196,0,7.31E-05,0
291.3662114,159.4026794,0,0.213943123,0,0.203928992,0,0.020748913,0,7.10E-05,0
293.0519919,159.3766174,0,0.213933184,0,0.203907087,0,0.020749485,0,-0.000113046,0
294.7433274,159.3609772,0,0.213948979,0,0.203896433,0,0.020750728,0,-6.15E-05,0
296.4699836,159.3349152,0,0.213901847,0,0.203866735,0,0.020748483,0,-6.60E-05,0
298.1856353,159.2931976,0,0.213882684,0,0.203869253,0,0.020749969,0,6.34E-05,0
299.8711364,159.2931976,0,0.213875383,0,0.203837692,0,0.020749342,0,6.55E-05,0
301.5597446,159.2984161,0,0.213815554,0,0.203788399,0,0.020746717,0,6.87E-05,0
303.2469559,159.3401337,0,0.213832601,0,0.203805521,0,0.020748785,0,6.41E-05,0
304.930181,159.3818359,0,0.213796123,0,0.203785553,0,0.020748567,0,6.04E-05,0
306.6122391,159.4078979,0,0.213822454,0,0.203784793,0,0.020749802,0,6.33E-05,0
